,RMSE,lags,seasonal_lags,hidden_layers,alpha,batch_size,activation,learning_rate
0,1.013690226670836,15,[52],"(16, 16)",0.1,32,relu,0.0001
1,0.8798318642601107,15,[52],"(16, 16, 16)",0.1,32,relu,0.0001
2,1.0078142810108408,15,[52],"(16, 16)",0.2,32,relu,0.0001
3,0.8835577077954234,15,[52],"(16, 16, 16)",0.2,32,relu,0.0001
4,1.0746760008068068,16,[52],"(16, 16)",0.1,32,relu,0.0001
5,1.1688953017161359,16,[52],"(16, 16, 16)",0.1,32,relu,0.0001
6,1.0725205558218223,16,[52],"(16, 16)",0.2,32,relu,0.0001
7,1.1480470864140253,16,[52],"(16, 16, 16)",0.2,32,relu,0.0001
8,0.9059409410838266,17,[52],"(16, 16)",0.1,32,relu,0.0001
9,1.2150971498609027,17,[52],"(16, 16, 16)",0.1,32,relu,0.0001
10,0.8585353413987912,17,[52],"(16, 16)",0.2,32,relu,0.0001
11,1.2038952347956597,17,[52],"(16, 16, 16)",0.2,32,relu,0.0001
12,1.0888514753616192,18,[52],"(16, 16)",0.1,32,relu,0.0001
13,1.1536578526308159,18,[52],"(16, 16, 16)",0.1,32,relu,0.0001
14,1.1056852551848357,18,[52],"(16, 16)",0.2,32,relu,0.0001
15,1.1531429479047661,18,[52],"(16, 16, 16)",0.2,32,relu,0.0001
16,0.8171012570336531,19,[52],"(16, 16)",0.1,32,relu,0.0001
17,0.8794370875830682,19,[52],"(16, 16, 16)",0.1,32,relu,0.0001
18,0.818997813935809,19,[52],"(16, 16)",0.2,32,relu,0.0001
19,0.8657286837873334,19,[52],"(16, 16, 16)",0.2,32,relu,0.0001
20,1.0179046219202907,20,[52],"(16, 16)",0.1,32,relu,0.0001
21,1.1736948420537432,20,[52],"(16, 16, 16)",0.1,32,relu,0.0001
22,1.0109345659284108,20,[52],"(16, 16)",0.2,32,relu,0.0001
23,1.169159795586599,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001
24,1.117140148302947,21,[52],"(16, 16)",0.1,32,relu,0.0001
25,0.9051127291012625,21,[52],"(16, 16, 16)",0.1,32,relu,0.0001
26,1.1161064159208516,21,[52],"(16, 16)",0.2,32,relu,0.0001
27,0.8793745189060949,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001
28,1.0363937779269066,22,[52],"(16, 16)",0.1,32,relu,0.0001
29,1.0293528933245948,22,[52],"(16, 16, 16)",0.1,32,relu,0.0001
30,1.0221218340573648,22,[52],"(16, 16)",0.2,32,relu,0.0001
31,0.966067419448034,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001
32,0.9220128481056085,23,[52],"(16, 16)",0.1,32,relu,0.0001
33,0.9425667959544356,23,[52],"(16, 16, 16)",0.1,32,relu,0.0001
34,0.920379154478486,23,[52],"(16, 16)",0.2,32,relu,0.0001
35,0.9243291463197938,23,[52],"(16, 16, 16)",0.2,32,relu,0.0001
36,0.8755756969622785,24,[52],"(16, 16)",0.1,32,relu,0.0001
37,0.9818018194246484,24,[52],"(16, 16, 16)",0.1,32,relu,0.0001
38,0.8390542232196493,24,[52],"(16, 16)",0.2,32,relu,0.0001
39,0.9719043285132779,24,[52],"(16, 16, 16)",0.2,32,relu,0.0001
40,0.763213743581549,25,[52],"(16, 16)",0.1,32,relu,0.0001
41,1.040943445376083,25,[52],"(16, 16, 16)",0.1,32,relu,0.0001
42,0.7600036598458831,25,[52],"(16, 16)",0.2,32,relu,0.0001
43,1.0437434571148787,25,[52],"(16, 16, 16)",0.2,32,relu,0.0001
44,0.9775775819538689,26,[52],"(16, 16)",0.1,32,relu,0.0001
45,0.9902458495367256,26,[52],"(16, 16, 16)",0.1,32,relu,0.0001
46,0.9764708095308849,26,[52],"(16, 16)",0.2,32,relu,0.0001
47,0.9985160275632675,26,[52],"(16, 16, 16)",0.2,32,relu,0.0001
48,0.8347232335881989,27,[52],"(16, 16)",0.1,32,relu,0.0001
49,1.086821729714942,27,[52],"(16, 16, 16)",0.1,32,relu,0.0001
50,0.8363330680700045,27,[52],"(16, 16)",0.2,32,relu,0.0001
51,1.0673110593129944,27,[52],"(16, 16, 16)",0.2,32,relu,0.0001
52,0.8676150223094714,28,[52],"(16, 16)",0.1,32,relu,0.0001
53,0.9211532665807782,28,[52],"(16, 16, 16)",0.1,32,relu,0.0001
54,0.8644147120159991,28,[52],"(16, 16)",0.2,32,relu,0.0001
55,0.9455228045424695,28,[52],"(16, 16, 16)",0.2,32,relu,0.0001
56,0.8904312375713198,29,[52],"(16, 16)",0.1,32,relu,0.0001
57,0.8218549850919189,29,[52],"(16, 16, 16)",0.1,32,relu,0.0001
58,0.8923996372452883,29,[52],"(16, 16)",0.2,32,relu,0.0001
59,0.8217715000194207,29,[52],"(16, 16, 16)",0.2,32,relu,0.0001
60,0.8082772421241137,30,[52],"(16, 16)",0.1,32,relu,0.0001
61,0.8419642055312294,30,[52],"(16, 16, 16)",0.1,32,relu,0.0001
62,0.8045870223053652,30,[52],"(16, 16)",0.2,32,relu,0.0001
63,0.8397121295306693,30,[52],"(16, 16, 16)",0.2,32,relu,0.0001
64,0.7894008912837954,31,[52],"(16, 16)",0.1,32,relu,0.0001
65,0.8923846726374864,31,[52],"(16, 16, 16)",0.1,32,relu,0.0001
66,0.7943683104543084,31,[52],"(16, 16)",0.2,32,relu,0.0001
67,0.8890623529286881,31,[52],"(16, 16, 16)",0.2,32,relu,0.0001
68,1.1459260755459941,32,[52],"(16, 16)",0.1,32,relu,0.0001
69,0.9032597445752738,32,[52],"(16, 16, 16)",0.1,32,relu,0.0001
70,1.1107257376908717,32,[52],"(16, 16)",0.2,32,relu,0.0001
71,0.8997305970206492,32,[52],"(16, 16, 16)",0.2,32,relu,0.0001
72,0.8480610430350671,33,[52],"(16, 16)",0.1,32,relu,0.0001
73,0.8058726383424583,33,[52],"(16, 16, 16)",0.1,32,relu,0.0001
74,0.8504753336034182,33,[52],"(16, 16)",0.2,32,relu,0.0001
75,0.7997206420083072,33,[52],"(16, 16, 16)",0.2,32,relu,0.0001
76,1.0273050758749736,34,[52],"(16, 16)",0.1,32,relu,0.0001
77,0.8929328409537892,34,[52],"(16, 16, 16)",0.1,32,relu,0.0001
78,1.0194263776786716,34,[52],"(16, 16)",0.2,32,relu,0.0001
79,0.8890843740534842,34,[52],"(16, 16, 16)",0.2,32,relu,0.0001
80,0.8489425993091242,35,[52],"(16, 16)",0.1,32,relu,0.0001
81,0.8850038641159833,35,[52],"(16, 16, 16)",0.1,32,relu,0.0001
82,0.8412327273246168,35,[52],"(16, 16)",0.2,32,relu,0.0001
83,0.8860258889426592,35,[52],"(16, 16, 16)",0.2,32,relu,0.0001
84,0.8906058787779624,36,[52],"(16, 16)",0.1,32,relu,0.0001
85,0.8831684867935344,36,[52],"(16, 16, 16)",0.1,32,relu,0.0001
86,0.8915894804799548,36,[52],"(16, 16)",0.2,32,relu,0.0001
87,0.8775795533316053,36,[52],"(16, 16, 16)",0.2,32,relu,0.0001
88,1.179394499342581,37,[52],"(16, 16)",0.1,32,relu,0.0001
89,0.9755702224686987,37,[52],"(16, 16, 16)",0.1,32,relu,0.0001
90,1.1779032540784136,37,[52],"(16, 16)",0.2,32,relu,0.0001
91,0.9959331438961755,37,[52],"(16, 16, 16)",0.2,32,relu,0.0001
92,0.8804842485811898,38,[52],"(16, 16)",0.1,32,relu,0.0001
93,0.8991434654809728,38,[52],"(16, 16, 16)",0.1,32,relu,0.0001
94,0.8818265716972901,38,[52],"(16, 16)",0.2,32,relu,0.0001
95,0.8948288233290042,38,[52],"(16, 16, 16)",0.2,32,relu,0.0001
96,0.9980833024873483,39,[52],"(16, 16)",0.1,32,relu,0.0001
97,0.9084683375816941,39,[52],"(16, 16, 16)",0.1,32,relu,0.0001
98,0.9961250665427909,39,[52],"(16, 16)",0.2,32,relu,0.0001
99,0.9021804910325804,39,[52],"(16, 16, 16)",0.2,32,relu,0.0001
100,0.9892132901574225,40,[52],"(16, 16)",0.1,32,relu,0.0001
101,1.0111039992162565,40,[52],"(16, 16, 16)",0.1,32,relu,0.0001
102,0.9507532320685153,40,[52],"(16, 16)",0.2,32,relu,0.0001
103,1.0072239120923974,40,[52],"(16, 16, 16)",0.2,32,relu,0.0001
104,0.9469884896066016,41,[52],"(16, 16)",0.1,32,relu,0.0001
105,0.9115838393668146,41,[52],"(16, 16, 16)",0.1,32,relu,0.0001
106,0.9376865273421299,41,[52],"(16, 16)",0.2,32,relu,0.0001
107,0.9051182046570001,41,[52],"(16, 16, 16)",0.2,32,relu,0.0001
108,1.0557491739323122,42,[52],"(16, 16)",0.1,32,relu,0.0001
109,0.9136565228014097,42,[52],"(16, 16, 16)",0.1,32,relu,0.0001
110,1.0551575581764794,42,[52],"(16, 16)",0.2,32,relu,0.0001
111,0.9039256345697947,42,[52],"(16, 16, 16)",0.2,32,relu,0.0001
112,1.0571679291468123,43,[52],"(16, 16)",0.1,32,relu,0.0001
113,0.9915868066651995,43,[52],"(16, 16, 16)",0.1,32,relu,0.0001
114,1.05509262340099,43,[52],"(16, 16)",0.2,32,relu,0.0001
115,0.993727569877113,43,[52],"(16, 16, 16)",0.2,32,relu,0.0001
116,1.1165077913749355,44,[52],"(16, 16)",0.1,32,relu,0.0001
117,0.9002223461616204,44,[52],"(16, 16, 16)",0.1,32,relu,0.0001
118,1.1033558176785536,44,[52],"(16, 16)",0.2,32,relu,0.0001
119,0.8973896963973128,44,[52],"(16, 16, 16)",0.2,32,relu,0.0001
120,0.9074109587137498,45,[52],"(16, 16)",0.1,32,relu,0.0001
121,0.9762517418405375,45,[52],"(16, 16, 16)",0.1,32,relu,0.0001
122,0.9070176384211028,45,[52],"(16, 16)",0.2,32,relu,0.0001
123,0.9823354983987489,45,[52],"(16, 16, 16)",0.2,32,relu,0.0001
124,0.8890683817624853,46,[52],"(16, 16)",0.1,32,relu,0.0001
125,0.9006113969842082,46,[52],"(16, 16, 16)",0.1,32,relu,0.0001
126,0.8938099267855173,46,[52],"(16, 16)",0.2,32,relu,0.0001
127,0.8759507109141094,46,[52],"(16, 16, 16)",0.2,32,relu,0.0001
128,1.020047795602353,47,[52],"(16, 16)",0.1,32,relu,0.0001
129,0.8212472291328338,47,[52],"(16, 16, 16)",0.1,32,relu,0.0001
130,1.0144187788804893,47,[52],"(16, 16)",0.2,32,relu,0.0001
131,0.809336776733177,47,[52],"(16, 16, 16)",0.2,32,relu,0.0001
132,0.9107716768143868,48,[52],"(16, 16)",0.1,32,relu,0.0001
133,0.8598162307111713,48,[52],"(16, 16, 16)",0.1,32,relu,0.0001
134,0.9012651146860051,48,[52],"(16, 16)",0.2,32,relu,0.0001
135,0.8559854479380996,48,[52],"(16, 16, 16)",0.2,32,relu,0.0001
136,0.8242000415501324,49,[52],"(16, 16)",0.1,32,relu,0.0001
137,0.8689892894756376,49,[52],"(16, 16, 16)",0.1,32,relu,0.0001
138,0.8245036379379735,49,[52],"(16, 16)",0.2,32,relu,0.0001
139,0.8683677300229676,49,[52],"(16, 16, 16)",0.2,32,relu,0.0001
140,1.2369503865944873,50,[52],"(16, 16)",0.1,32,relu,0.0001
141,0.8702611433971515,50,[52],"(16, 16, 16)",0.1,32,relu,0.0001
142,1.2596014481478324,50,[52],"(16, 16)",0.2,32,relu,0.0001
143,0.8658529387128819,50,[52],"(16, 16, 16)",0.2,32,relu,0.0001
144,0.8322984412314889,51,[52],"(16, 16)",0.1,32,relu,0.0001
145,0.8387722682322702,51,[52],"(16, 16, 16)",0.1,32,relu,0.0001
146,0.8292517602964334,51,[52],"(16, 16)",0.2,32,relu,0.0001
147,0.837964234266261,51,[52],"(16, 16, 16)",0.2,32,relu,0.0001
