Kanton,Jahr,BIP Growth Preise Vorjahr
Zürich,2013,2.14208
Bern,2013,1.5534
Luzern,2013,2.94847
Uri,2013,3.13899
Schwyz,2013,2.60567
Obwalden,2013,-1.36642
Nidwalden,2013,3.83844
Glarus,2013,3.99107
Zug,2013,3.97727
Freiburg,2013,4.61936
Solothurn,2013,1.4259
Basel-Stadt,2013,2.06517
Basel-Landschaft,2013,1.25178
Schaffhausen,2013,2.34458
Appenzell A.Rh.,2013,3.23317
Appenzell I.Rh.,2013,3.05982
St.Gallen,2013,2.49852
Graubünden,2013,2.2544
Aargau,2013,1.93227
Thurgau,2013,2.00216
Tessin,2013,3.51144
Waadt,2013,-2.78523
Wallis,2013,1.16555
Neuenburg,2013,1.90198
Genf,2013,1.66523
Jura,2013,4.44096
Schweiz,2013,1.79214
Zürich,2014,3.34443
Bern,2014,1.9524
Luzern,2014,2.21284
Uri,2014,0.26233
Schwyz,2014,1.56231
Obwalden,2014,0.30816
Nidwalden,2014,2.58336
Glarus,2014,1.72398
Zug,2014,0.96589
Freiburg,2014,3.20252
Solothurn,2014,1.8795
Basel-Stadt,2014,4.23831
Basel-Landschaft,2014,3.70204
Schaffhausen,2014,0.1607
Appenzell A.Rh.,2014,2.07507
Appenzell I.Rh.,2014,4.85681
St.Gallen,2014,1.55396
Graubünden,2014,0.86576
Aargau,2014,1.58466
Thurgau,2014,1.97114
Tessin,2014,2.33627
Waadt,2014,3.1164
Wallis,2014,0.56499
Neuenburg,2014,2.75042
Genf,2014,0.82824
Jura,2014,3.86145
Schweiz,2014,2.34988
Zürich,2015,2.42186
Bern,2015,0.17529
Luzern,2015,1.9901
Uri,2015,-0.59608
Schwyz,2015,3.36459
Obwalden,2015,1.24485
Nidwalden,2015,8.27838
Glarus,2015,0.91407
Zug,2015,7.32469
Freiburg,2015,2.2869
Solothurn,2015,1.23691
Basel-Stadt,2015,3.93401
Basel-Landschaft,2015,3.62318
Schaffhausen,2015,2.73216
Appenzell A.Rh.,2015,2.59211
Appenzell I.Rh.,2015,1.97635
St.Gallen,2015,0.99187
Graubünden,2015,-1.88696
Aargau,2015,-0.45456
Thurgau,2015,0.56954
Tessin,2015,0.7873
Waadt,2015,0.69083
Wallis,2015,2.37415
Neuenburg,2015,3.16137
Genf,2015,0.97635
Jura,2015,-0.86722
Schweiz,2015,1.64463
Zürich,2016,1.7484
Bern,2016,0.52077
Luzern,2016,2.60975
Uri,2016,0.61521
Schwyz,2016,1.2448
Obwalden,2016,2.68532
Nidwalden,2016,-3.2442
Glarus,2016,-0.1077
Zug,2016,2.23905
Freiburg,2016,0.99991
Solothurn,2016,0.4221
Basel-Stadt,2016,8.65222
Basel-Landschaft,2016,1.04119
Schaffhausen,2016,2.55092
Appenzell A.Rh.,2016,1.31821
Appenzell I.Rh.,2016,2.30171
St.Gallen,2016,1.91237
Graubünden,2016,0.82619
Aargau,2016,1.4818
Thurgau,2016,2.80686
Tessin,2016,0.31081
Waadt,2016,6.95957
Wallis,2016,0.90067
Neuenburg,2016,-1.28352
Genf,2016,0.90709
Jura,2016,0.28068
Schweiz,2016,2.06869
Zürich,2017,2.44974
Bern,2017,0.88863
Luzern,2017,2.35084
Uri,2017,3.04284
Schwyz,2017,2.41246
Obwalden,2017,1.65243
Nidwalden,2017,-0.82387
Glarus,2017,3.98023
Zug,2017,-2.49419
Freiburg,2017,1.98606
Solothurn,2017,1.66003
Basel-Stadt,2017,5.73085
Basel-Landschaft,2017,0.88488
Schaffhausen,2017,3.16637
Appenzell A.Rh.,2017,-0.63995
Appenzell I.Rh.,2017,-0.33024
St.Gallen,2017,1.43482
Graubünden,2017,0.56712
Aargau,2017,1.36276
Thurgau,2017,1.31244
Tessin,2017,-0.66622
Waadt,2017,-3.29394
Wallis,2017,1.95278
Neuenburg,2017,3.51973
Genf,2017,1.9723
Jura,2017,3.23982
Schweiz,2017,1.3628
Zürich,2018,4.25714
Bern,2018,1.53582
Luzern,2018,0.79854
Uri,2018,2.04065
Schwyz,2018,1.62959
Obwalden,2018,1.1629
Nidwalden,2018,-0.02631
Glarus,2018,-1.72128
Zug,2018,2.07381
Freiburg,2018,1.72512
Solothurn,2018,2.15227
Basel-Stadt,2018,2.60548
Basel-Landschaft,2018,-0.54491
Schaffhausen,2018,3.88541
Appenzell A.Rh.,2018,2.60951
Appenzell I.Rh.,2018,2.76971
St.Gallen,2018,1.99526
Graubünden,2018,2.43522
Aargau,2018,1.40039
Thurgau,2018,2.16634
Tessin,2018,3.52512
Waadt,2018,5.00867
Wallis,2018,3.66795
Neuenburg,2018,4.56945
Genf,2018,3.58081
Jura,2018,5.06185
Schweiz,2018,2.86045
Zürich,2019,-0.63796
Bern,2019,1.62612
Luzern,2019,2.61069
Uri,2019,1.52833
Schwyz,2019,2.14052
Obwalden,2019,3.34876
Nidwalden,2019,-1.10296
Glarus,2019,3.10113
Zug,2019,2.34594
Freiburg,2019,1.9878
Solothurn,2019,1.21049
Basel-Stadt,2019,2.88366
Basel-Landschaft,2019,-0.24267
Schaffhausen,2019,3.30408
Appenzell A.Rh.,2019,1.52575
Appenzell I.Rh.,2019,0.63018
St.Gallen,2019,1.55903
Graubünden,2019,2.53772
Aargau,2019,1.24944
Thurgau,2019,1.94326
Tessin,2019,1.27599
Waadt,2019,0.45258
Wallis,2019,2.50735
Neuenburg,2019,1.45723
Genf,2019,1.82882
Jura,2019,1.76597
Schweiz,2019,1.14198
Zürich,2020,-2.22879
Bern,2020,-1.94666
Luzern,2020,-0.70846
Uri,2020,-2.07136
Schwyz,2020,0.59263
Obwalden,2020,-3.28305
Nidwalden,2020,-4.60955
Glarus,2020,-4.23192
Zug,2020,3.70551
Freiburg,2020,-2.86922
Solothurn,2020,-2.74633
Basel-Stadt,2020,-0.78573
Basel-Landschaft,2020,-1.82221
Schaffhausen,2020,-0.14117
Appenzell A.Rh.,2020,4.43907
Appenzell I.Rh.,2020,-0.57796
St.Gallen,2020,-0.13918
Graubünden,2020,-2.97998
Aargau,2020,-1.20579
Thurgau,2020,1.21518
Tessin,2020,-5.77044
Waadt,2020,-3.55993
Wallis,2020,-5.1642
Neuenburg,2020,-6.53812
Genf,2020,-2.93987
Jura,2020,-9.55789
Schweiz,2020,-2.14174
Zürich,2021,0.11607
Bern,2021,4.24939
Luzern,2021,5.8338
Uri,2021,5.97861
Schwyz,2021,6.81654
Obwalden,2021,5.93511
Nidwalden,2021,10.06293
Glarus,2021,7.1289
Zug,2021,8.75732
Freiburg,2021,5.63772
Solothurn,2021,5.18123
Basel-Stadt,2021,6.67318
Basel-Landschaft,2021,2.18664
Schaffhausen,2021,12.92377
Appenzell A.Rh.,2021,3.68367
Appenzell I.Rh.,2021,9.20011
St.Gallen,2021,8.21854
Graubünden,2021,4.97386
Aargau,2021,0.24874
Thurgau,2021,7.99129
Tessin,2021,13.17713
Waadt,2021,10.03168
Wallis,2021,6.49503
Neuenburg,2021,15.21069
Genf,2021,7.37909
Jura,2021,14.65695
Schweiz,2021,5.39189
