Region,Total,Alter 0–19,Alter 20–64,Alter 65 und mehr,Mann,Frau,Schweizer,Ausländer ,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetragener Partnerschaft,Aufgelöste Partnerschaft,Städtischer Kernraum,Einflussgebiet Stadt,Ausserhalb des Einflusses städtischer Kerne,Jahr
Schweiz,8815385,1755213,5368549,1691623,4379953,4435432,6519362,2296023,4024051,3589295,402798,780357,647,14293,3682,5547579,1932177,1335629,2022
Genferseeregion,1701827,358186,1046653,296988,835051,866776,1130600,571227,816952,649510,72194,158686,228,3360,849,1176727,363754,161346,2022
Waadt,830431,180828,510764,138839,408209,422222,554772,275659,405980,313352,33611,75333,83,1646,405,511867,232420,86144,2022
Wallis,357282,68941,215062,73279,177835,179447,272671,84611,157310,148115,18653,32679,38,373,100,196906,85174,75202,2022
Genf,514114,108417,320827,84870,249007,265107,303157,210957,253662,188043,19930,50674,107,1341,344,467954,46160,0,2022
Espace Mittelland,1918746,379054,1144199,395493,948765,969981,1536189,382557,862111,781413,95513,176418,121,2438,678,958079,513602,447065,2022
Bern,1051437,200509,620777,230151,516805,534632,872661,178776,469022,431354,54214,94967,57,1389,416,551861,234361,265215,2022
Freiburg,334465,73118,205729,55618,167569,166896,255175,79290,157683,133499,13755,28986,28,405,99,108282,140065,86118,2022
Solothurn,282408,54189,169758,58461,141168,141240,214403,68005,120412,121474,14045,25990,13,367,83,169914,72522,39972,2022
Neuenburg,176571,36157,105474,34940,86657,89914,131328,45243,82116,65602,9140,19433,13,205,61,103225,51728,21618,2022
Jura,73865,15081,42461,16323,36566,37299,62622,11243,32878,29484,4359,7042,10,72,19,24797,14926,34142,2022
Nordwestschweiz,1202435,236134,727022,239279,598131,604304,872250,330185,528247,509976,56395,105374,66,1905,437,785150,309970,107315,2022
Basel-Stadt,196786,34516,123376,38894,95937,100849,123465,73321,98160,69212,9522,19145,21,598,121,196786,0,0,2022
Basel-Landschaft,294417,56709,170422,67286,144441,149976,223876,70541,121799,130051,15814,26126,13,504,104,199822,87691,6904,2022
Aargau,711232,144909,433224,133099,357753,353479,524909,186323,308288,310713,31059,60103,32,803,212,388542,222279,100411,2022
Zürich,1579967,312392,994624,272951,788846,791121,1141651,438316,756713,619417,61890,136723,83,3970,1124,1221626,347932,10409,2022
Ostschweiz,1217015,240361,732845,243809,612142,604873,922217,294798,527723,523754,58432,105541,54,1188,280,660548,209104,347363,2022
Glarus,41471,7968,24758,8745,20975,20496,30918,10553,17630,17889,2258,3638,2,44,9,31943,0,9528,2022
Schaffhausen,85214,16063,50430,18721,42318,42896,62066,23148,35698,36956,4518,7887,3,121,27,48606,27907,8701,2022
Appenzell A.Rh.,55759,11365,32747,11647,28114,27645,46395,9364,24016,23935,2744,4983,1,66,14,15744,26922,13093,2022
Appenzell I.Rh.,16416,3392,9674,3350,8408,8008,14510,1906,7420,7045,855,1083,1,9,3,0,0,16416,2022
St.Gallen,525967,107360,318282,100325,264521,261446,392009,133958,231778,224539,24426,44592,20,470,111,364320,68936,92711,2022
Graubünden,202538,35349,121064,46125,101760,100778,162686,39852,87011,86944,10737,17628,15,157,42,66483,24663,111392,2022
Thurgau,289650,58864,175890,54896,146046,143604,213633,76017,124170,126446,12894,25730,12,321,74,133452,60676,95522,2022
Zentralschweiz,841372,166893,514866,159613,424681,416691,661858,179514,379110,359041,37017,64854,52,1043,222,493605,110895,236872,2022
Luzern,424851,85932,260162,78757,212021,212830,340582,84269,196755,176873,18845,31692,27,520,127,223366,48728,152757,2022
Uri,37317,7362,21811,8144,19007,18310,32224,5093,16026,17082,1973,2200,6,25,5,22995,9998,4324,2022
Schwyz,164920,31575,101903,31442,84722,80198,127120,37800,72025,71493,7227,13926,4,197,44,100253,35258,29409,2022
Obwalden,38700,7638,23137,7925,19574,19126,32652,6048,17104,16975,1823,2767,1,25,4,10654,0,28046,2022
Nidwalden,44420,7906,26689,9825,22783,21637,37150,7270,19240,19214,2064,3839,2,44,4,16062,6022,22336,2022
Zug,131164,26480,81164,23520,66574,64590,92130,39034,57960,57404,5085,10430,12,232,38,120275,10889,0,2022
Tessin,354023,62193,208340,83490,172337,181686,254597,99426,153195,146184,21357,32761,43,389,92,251844,76920,25259,2022
Schweiz,8738791,1742898,5334574,1661319,4338203,4400588,6494610,2244181,3963699,3580260,403549,767336,636,19705,3343,5497342,1908838,1332611,2021
Genferseeregion,1685625,355581,1037507,292537,826704,858921,1124459,561166,802549,649059,72504,156154,210,4310,789,1165784,359974,159867,2021
Waadt,822968,179789,506501,136678,404311,418657,550447,272521,399014,313418,33901,74074,77,2076,386,506885,230723,85360,2021
Wallis,353209,68414,213030,71765,175475,177734,271208,82001,154332,147735,18537,31922,31,554,83,194781,83921,74507,2021
Genf,509448,107378,317976,84094,246918,262530,302804,206644,249203,187906,20066,50158,102,1680,320,464118,45330,0,2021
Espace Mittelland,1907491,377165,1141731,388595,942630,964861,1532757,374734,851601,782070,96071,173602,125,3347,620,952809,509515,445167,2021
Bern,1047473,199744,621199,226530,514609,532864,871624,175849,464576,432225,54602,93639,58,1965,389,549964,233241,264268,2021
Freiburg,329809,72292,203367,54150,165058,164751,253020,76789,154328,132883,13684,28252,26,546,79,106310,137898,85601,2021
Solothurn,280245,53622,169413,57210,140047,140198,213728,66517,118971,120954,14088,25620,15,489,84,168651,71932,39662,2021
Neuenburg,176166,36347,105216,34603,86394,89772,131653,44513,81073,66304,9297,19176,14,251,51,103187,51500,21479,2021
Jura,73798,15160,42536,16102,36522,37276,62732,11066,32653,29704,4400,6915,12,96,17,24697,14944,34157,2021
Nordwestschweiz,1191939,233565,723704,234670,592477,599462,868904,323035,520749,507988,56414,103628,67,2667,395,779365,299616,112958,2021
Basel-Stadt,196036,34337,122872,38827,95406,100630,123872,72164,96818,69509,9702,19076,21,795,110,196036,0,0,2021
Basel-Landschaft,292817,56267,170238,66312,143638,149179,223507,69310,120231,130332,15822,25616,11,715,88,198771,87178,6868,2021
Aargau,703086,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,2021
Zürich,1564662,310609,984746,269307,780245,784417,1136406,428256,743633,616559,62153,135482,80,5686,1017,1208239,346094,10329,2021
Ostschweiz,1203715,237971,727612,238132,604645,599070,918232,285483,519619,520646,58198,103195,58,1733,232,652656,207081,343978,2021
Glarus,41190,7889,24747,8554,20812,20378,30891,10299,17476,17824,2293,3530,2,56,9,31700,0,9490,2021
Schaffhausen,83995,15831,49828,18336,41608,42387,61688,22307,34957,36677,4509,7661,2,162,26,47770,27558,8667,2021
Appenzell A.Rh.,55585,11313,32862,11410,27993,27592,46368,9217,23785,23954,2763,4973,1,99,10,15679,26853,13053,2021
Appenzell I.Rh.,16360,3417,9616,3327,8389,7971,14479,1881,7387,7051,855,1056,1,8,2,0,0,16360,2021
St.Gallen,519245,106272,314899,98074,260651,258594,389811,129434,227645,222885,24278,43581,26,714,86,359447,68123,91675,2021
Graubünden,201376,35248,121024,45104,101045,100331,162520,38856,86183,86950,10737,17216,14,239,34,66054,24667,110655,2021
Thurgau,285964,58001,174636,53327,144147,141817,212475,73489,122186,125305,12763,25178,12,455,65,132006,59880,94078,2021
Zentralschweiz,833178,165651,511804,155723,420053,413125,659542,173636,374188,357169,36925,63156,53,1442,206,488495,109752,234931,2021
Luzern,420326,85214,258090,77022,209465,210861,339079,81247,193764,176065,18815,30803,26,720,121,220641,48133,151552,2021
Uri,37047,7366,21709,7972,18844,18203,32143,4904,15941,16965,1981,2112,6,37,5,22782,9933,4332,2021
Schwyz,163689,31400,101748,30541,84061,79628,126855,36834,71384,71177,7192,13603,5,284,41,99436,35041,29212,2021
Obwalden,38435,7612,23127,7696,19454,18981,32623,5812,16930,16937,1831,2680,1,50,4,10650,0,27785,2021
Nidwalden,43894,7860,26489,9545,22488,21406,37080,6814,18935,19078,2075,3721,2,60,4,16027,5817,22050,2021
Zug,129787,26199,80641,22947,65741,64046,91762,38025,57234,56947,5031,10237,13,291,31,118959,10828,0,2021
Tessin,352181,62356,207470,82355,171449,180732,254310,97871,151360,146769,21284,32119,43,520,84,249994,76806,25381,2021
Schweiz,8670300,1726301,5314329,1629670,4302599,4367701,6459512,2210788,3903333,3588894,403471,751735,617,19022,2981,5459871,1892586,1317843,2020
Genferseeregion,1669608,352457,1029714,287437,818492,851116,1115756,553852,786918,652560,72456,152562,197,4166,693,1154478,357221,157909,2020
Waadt,814762,178201,502049,134512,400217,414545,544045,270717,390456,315488,33856,72495,74,2046,322,502562,227934,84266,2020
Wallis,348503,67768,210723,70012,172955,175548,268980,79523,150781,147805,18447,30828,32,514,80,190528,84332,73643,2020
Genf,506343,106488,316942,82913,245320,261023,302731,203612,245681,189267,20153,49239,91,1606,291,461388,44955,0,2020
Espace Mittelland,1895693,374276,1140813,380604,936569,959124,1526914,368779,840219,785146,96427,169945,118,3232,550,947795,508274,439624,2020
Bern,1043132,198135,622565,222432,512300,530832,869681,173451,459553,434188,54891,92148,55,1922,355,548169,231971,262992,2020
Freiburg,325496,71566,201329,52601,162985,162511,250287,75209,151140,132998,13544,27196,26,515,64,105813,137812,81871,2020
Solothurn,277462,52851,168974,55637,138626,138836,212535,64927,117216,120496,14082,25090,14,466,75,167217,71077,39168,2020
Neuenburg,175894,36481,105285,34128,86184,89710,131671,44223,79901,67413,9456,18822,13,246,43,101854,52618,21422,2020
Jura,73709,15243,42660,15806,36474,37235,62740,10969,32409,30051,4454,6689,10,83,13,24742,14796,34171,2020
Nordwestschweiz,1181776,230414,721349,230013,587202,594574,863570,318206,512675,508144,56434,101449,65,2642,340,775204,295878,110694,2020
Basel-Stadt,196735,34218,123788,38729,95621,101114,124151,72584,96080,70666,9966,19112,21,791,95,196735,0,0,2020
Basel-Landschaft,290969,55753,170100,65116,142767,148202,222404,68565,118581,130683,15809,25080,11,726,77,197713,86359,6897,2020
Aargau,694072,140443,427461,126168,348814,345258,517015,177057,298014,306795,30659,57257,33,1125,168,380756,209519,103797,2020
Zürich,1553423,307069,980693,265661,774299,779124,1129722,423701,732076,618478,62232,134045,81,5517,947,1200621,342561,10241,2020
Ostschweiz,1193069,235425,724940,232704,598955,594114,912802,280267,512342,519867,57991,100949,57,1629,199,647355,204582,341132,2020
Glarus,40851,7821,24610,8420,20625,20226,30753,10098,17182,17884,2283,3443,2,50,7,31371,0,9480,2020
Schaffhausen,83107,15515,49632,17960,41162,41945,61267,21840,34219,36690,4538,7485,1,151,22,47419,27219,8469,2020
Appenzell A.Rh.,55309,11163,32940,11206,27883,27426,46135,9174,23560,24002,2765,4882,1,87,12,15649,26711,12949,2020
Appenzell I.Rh.,16293,3414,9621,3258,8361,7932,14420,1873,7396,7039,849,1001,1,5,2,0,0,16293,2020
St.Gallen,514504,105183,313333,95988,258108,256396,387398,127106,224463,222302,24223,42706,27,678,74,356434,67446,90624,2020
Graubünden,200096,35161,120785,44150,100289,99807,161989,38107,85157,87156,10715,16788,13,234,30,65578,24325,110193,2020
Thurgau,282909,57168,174019,51722,142527,140382,210840,72069,120365,124794,12618,24644,12,424,52,130904,58881,93124,2020
Zentralschweiz,825745,164123,509382,152240,416252,409493,656639,169106,369320,356682,36709,61420,58,1354,178,484754,108297,232694,2020
Luzern,416347,84267,256790,75290,207582,208765,337132,79215,191095,175836,18746,29842,25,693,98,218741,47404,150202,2020
Uri,36819,7315,21739,7765,18768,18051,32073,4746,15821,16962,1965,2025,6,35,5,22675,9870,4274,2020
Schwyz,162157,31099,101197,29861,83109,79048,126227,35930,70456,70988,7144,13244,10,276,36,98652,34560,28945,2020
Obwalden,38108,7589,23034,7485,19268,18840,32475,5633,16708,16949,1808,2592,2,45,3,10514,0,27594,2020
Nidwalden,43520,7863,26388,9269,22298,21222,36996,6524,18745,19047,2048,3620,2,48,5,15978,5863,21679,2020
Zug,128794,25990,80234,22570,65227,63567,91736,37058,56495,56900,4998,10097,13,257,31,118194,10600,0,2020
Tessin,350986,62537,207438,81011,170830,180156,254109,96877,149783,148017,21222,31365,41,482,74,249664,75773,25549,2020
Schweiz,8606033,1717198,5283035,1605800,4268863,4337170,6430658,2175375,3843439,3599225,404591,737094,596,18231,2606,5422227,1874960,1308846,2019
Genferseeregion,1654751,350184,1019602,284965,810627,844124,1109609,545142,769856,657991,72804,149287,179,3995,588,1145994,352393,156364,2019
Waadt,805098,176324,495399,133375,395189,409909,539414,265684,379802,317927,34103,70898,63,1998,283,496862,224782,83454,2019
Wallis,345525,67783,208907,68835,171254,174271,267503,78022,148368,148410,18435,29759,32,436,69,189532,83083,72910,2019
Genf,504128,106077,315296,82755,244184,259944,302692,201436,241686,191654,20266,48630,84,1561,236,459600,44528,0,2019
Espace Mittelland,1886584,373779,1138042,374763,931877,954707,1522281,364303,830318,789245,96969,166289,109,3103,495,944887,503734,437963,2019
Bern,1039474,197741,622788,218945,510170,529304,867188,172286,455044,436650,55218,90309,50,1869,313,546207,230693,262574,2019
Freiburg,321783,71380,198907,51496,161153,160630,248327,73456,148134,133187,13546,26342,21,479,62,105150,135458,81175,2019
Solothurn,275247,52352,168215,54680,137659,137588,212104,63143,115759,120186,14173,24580,15,443,69,166058,70477,38712,2019
Neuenburg,176496,36989,105527,33980,86495,90001,131913,44583,79300,68834,9493,18588,13,228,40,102675,52364,21457,2019
Jura,73584,15317,42605,15662,36400,37184,62749,10835,32081,30388,4539,6470,10,84,11,24797,14742,34045,2019
Nordwestschweiz,1171157,228236,716949,225972,581620,589537,859050,312107,504645,507452,56483,99664,66,2521,303,767723,293956,109478,2019
Basel-Stadt,195844,33969,123115,38760,94997,100847,124085,71759,94518,71139,10209,19115,24,752,82,195844,0,0,2019
Basel-Landschaft,289468,55458,169810,64200,141890,147578,222615,66853,117224,131112,15749,24605,10,692,74,196919,85694,6855,2019
Aargau,685845,138809,424024,123012,344733,341112,512350,173495,292903,305201,30525,55944,32,1077,147,374960,208262,102623,2019
Zürich,1539275,304095,972784,262396,766679,772596,1122495,416780,718884,619082,62535,132491,85,5304,839,1190339,338757,10179,2019
Ostschweiz,1183813,234375,721355,228083,594186,589627,909076,274737,506261,518981,58057,98687,62,1547,177,642112,203233,338468,2019
Glarus,40590,7791,24537,8262,20546,20044,30765,9825,16950,17927,2295,3359,3,51,5,31137,0,9453,2019
Schaffhausen,82348,15403,49301,17644,40768,41580,60891,21457,33798,36511,4567,7308,1,146,17,47071,26831,8446,2019
Appenzell A.Rh.,55445,11198,33195,11052,27938,27507,46319,9126,23639,24162,2774,4779,1,82,8,15763,26713,12969,2019
Appenzell I.Rh.,16128,3405,9566,3157,8303,7825,14312,1816,7285,7025,853,951,1,12,1,0,0,16128,2019
St.Gallen,510734,104584,311506,94644,256039,254695,385916,124818,221464,222293,24356,41843,29,644,71,354003,67039,89692,2019
Graubünden,199021,35381,120467,43173,99707,99314,161639,37382,84525,87117,10709,16403,15,221,27,64720,24666,109635,2019
Thurgau,279547,56613,172783,50151,140885,138662,209234,70313,118600,123946,12503,24044,12,391,48,129418,57984,92145,2019
Zentralschweiz,818962,163404,506655,148903,412733,406229,653514,165448,365176,355966,36470,59828,54,1298,148,481026,106862,231074,2019
Luzern,413120,83814,255571,73735,205976,207144,335508,77612,188877,175800,18629,29020,24,682,76,217191,46639,149290,2019
Uri,36703,7357,21715,7631,18739,17964,32084,4619,15739,16983,1982,1955,6,33,5,22656,9859,4188,2019
Schwyz,160480,30944,100405,29131,82213,78267,125367,35113,69530,70689,7055,12907,6,257,32,97586,34089,28805,2019
Obwalden,37930,7590,23018,7322,19158,18772,32361,5569,16648,16906,1803,2529,2,39,2,10458,0,27472,2019
Nidwalden,43087,7798,26281,9008,22053,21034,36719,6368,18562,18953,2021,3498,3,44,4,15992,5776,21319,2019
Zug,127642,25901,79665,22076,64594,63048,91475,36167,55820,56635,4980,9919,13,243,29,117143,10499,0,2019
Tessin,351491,63125,207648,80718,171141,180350,254633,96858,148299,150508,21273,30848,41,463,56,250146,76025,25320,2019
Schweiz,8544527,1709458,5257768,1577301,4237121,4307406,6396252,2148275,3797529,3597800,405348,723331,598,17392,2305,5380353,1861193,1302981,2018
Genferseeregion,1642580,349186,1012587,280807,804808,837772,1099297,543283,758587,660079,72910,146485,171,3775,522,1137812,348868,155900,2018
Waadt,799145,175670,492075,131400,392529,406616,533878,265267,374074,319150,34214,69485,60,1892,247,493915,222272,82958,2018
Wallis,343955,68005,208500,67450,170431,173524,265879,78076,147060,149070,18370,28941,33,408,56,188756,82257,72942,2018
Genf,499480,105511,312012,81957,241848,257632,299540,199940,237453,191859,20326,48059,78,1475,219,455141,44339,0,2018
Espace Mittelland,1877154,373098,1136002,368054,926783,950371,1518454,358700,822245,790588,97441,163311,113,2955,460,940874,499938,436342,2018
Bern,1034977,197081,622412,215484,507791,527186,865906,169071,450924,437708,55506,88678,55,1787,296,543353,229573,262051,2018
Freiburg,318714,71206,197382,50126,159579,159135,246355,72359,146131,132836,13533,25678,25,444,58,104670,133895,80149,2018
Solothurn,273194,52055,167704,53435,136475,136719,211399,61795,114497,119734,14210,24262,11,412,61,164793,70080,38321,2018
Neuenburg,176850,37361,105812,33677,86621,90229,132143,44707,78853,69688,9652,18382,12,228,34,103062,52257,21531,2018
Jura,73419,15395,42692,15332,36317,37102,62651,10768,31840,30622,4540,6311,10,84,11,24996,14133,34290,2018
Nordwestschweiz,1161105,226158,713317,221630,576428,584677,854046,307059,498190,505965,56482,97709,68,2408,261,761407,291340,108358,2018
Basel-Stadt,194766,33585,122466,38715,94311,100455,123867,70899,93443,71195,10436,18868,25,722,74,194766,0,0,2018
Basel-Landschaft,288132,55328,169597,63207,141341,146791,222396,65736,116257,131140,15671,24333,9,661,59,196108,85166,6858,2018
Aargau,678207,137245,421254,119708,340776,337431,507783,170424,288490,303630,30375,54508,34,1025,128,370533,206174,101500,2018
Zürich,1520968,300178,962059,258731,757081,763887,1112574,408394,705128,616619,62676,130518,90,5125,753,1173534,337221,10213,2018
Ostschweiz,1176321,233799,719480,223042,590060,586261,906244,270077,502525,517369,58057,96680,60,1451,146,638126,201579,336616,2018
Glarus,40403,7726,24566,8111,20448,19955,30671,9732,16842,17889,2310,3316,2,41,3,30909,0,9494,2018
Schaffhausen,81991,15411,49233,17347,40560,41431,60626,21365,33668,36412,4568,7186,1,141,15,47099,26527,8365,2018
Appenzell A.Rh.,55234,11128,33220,10886,27889,27345,46220,9014,23502,24128,2795,4720,1,81,7,15745,26569,12920,2018
Appenzell I.Rh.,16145,3424,9630,3091,8300,7845,14321,1824,7354,6995,847,930,1,15,3,0,0,16145,2018
St.Gallen,507697,104248,310799,92650,254304,253393,385295,122402,219865,221801,24302,41014,28,605,54,351835,66645,89217,2018
Graubünden,198379,35687,120386,42306,99374,99005,161397,36982,84164,87286,10743,15942,15,202,24,64561,24381,109437,2018
Thurgau,276472,56175,171646,48651,139185,137287,207714,68758,117130,122858,12492,23572,12,366,40,127977,57457,91038,2018
Zentralschweiz,813056,162941,504973,145142,409769,403287,650521,162535,362322,354594,36382,58329,55,1247,111,477046,106022,229988,2018
Luzern,409557,83363,254126,72068,204100,205457,333672,75885,187057,174800,18649,28311,24,651,58,214883,46250,148424,2018
Uri,36433,7340,21651,7442,18609,17824,31936,4497,15568,16939,1996,1886,8,31,5,22499,9789,4145,2018
Schwyz,159165,30986,99947,28232,81599,77566,124828,34337,68977,70322,7053,12543,5,238,23,96821,33747,28597,2018
Obwalden,37841,7639,23100,7102,19144,18697,32296,5545,16644,16880,1782,2494,2,37,2,10368,0,27473,2018
Nidwalden,43223,7884,26552,8787,22122,21101,36872,6351,18622,19151,1999,3402,4,42,1,16097,5777,21349,2018
