Region,Total,Alter 0–19,Alter 20–64,Alter 65 und mehr,Mann,Frau,Schweizer,Ausländer ,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetragener Partnerschaft,Aufgelöste Partnerschaft,Städtischer Kernraum,Einflussgebiet Stadt,Ausserhalb des Einflusses städtischer Kerne,Jahr
Zug,126837,25729,79597,21511,64195,62642,90917,35920,55454,56502,4903,9693,12,248,22,116378,10459,0,2018
Tessin,353343,64098,209350,79895,172192,181151,255116,98227,148532,152586,21400,30299,41,431,52,251554,76225,25564,2018
Schweiz,8484130,1700494,5233271,1550365,4206434,4277696,6357738,2126392,3755372,3592368,406117,711025,588,16435,2001,5339043,1852223,1292864,2017
Genferseeregion,1629841,346875,1005903,277063,798780,831061,1086874,542967,747544,661155,73063,143847,163,3558,458,1129428,344955,155458,2017
Waadt,793129,174446,488905,129778,389504,403625,527117,266012,368315,319792,34382,68554,57,1786,216,491022,219482,82625,2017
Wallis,341463,67825,207639,65999,169162,172301,263082,78381,145510,149095,18326,28051,35,378,52,187341,81289,72833,2017
Genf,495249,104604,309359,81286,240114,255135,296675,198574,233719,192268,20355,47242,71,1394,190,451065,44184,0,2017
Espace Mittelland,1868886,372526,1134465,361895,922655,946231,1514630,354256,815367,791716,97906,160544,123,2792,386,937087,501043,430756,2017
Bern,1031126,196464,622668,211994,505911,525215,864345,166781,447669,437969,55951,87498,57,1696,258,540715,228540,261871,2017
Freiburg,315074,70790,195404,48880,157874,157200,244143,70931,143931,132264,13480,24910,30,408,43,103666,132449,78959,2017
Solothurn,271432,51786,167169,52477,135497,135935,210812,60620,113401,119540,14256,23766,13,398,44,163697,70005,37730,2017
Neuenburg,177964,37939,106567,33458,87093,90871,132811,45153,78725,71046,9692,18242,14,212,32,103991,56005,17968,2017
Jura,73290,15547,42657,15086,36280,37010,62519,10771,31641,30897,4527,6128,9,78,9,25018,14044,34228,2017
Nordwestschweiz,1151919,224171,710358,217390,571672,580247,850199,301720,492796,504252,56491,95794,64,2261,242,755406,289244,107269,2017
Basel-Stadt,193908,33117,122052,38739,93723,100185,124147,69761,92283,71463,10613,18774,23,682,66,193908,0,0,2017
Basel-Landschaft,287023,55109,169687,62227,140771,146252,222343,64680,115488,131317,15650,23879,10,624,53,195457,84629,6937,2017
Aargau,670988,135945,418619,116424,337178,333810,503709,167279,285025,301472,30228,53141,31,955,123,366041,204615,100332,2017
Zürich,1504346,296854,952121,255371,748276,756070,1102014,402332,693245,613343,62962,129082,90,4914,655,1158518,335631,10197,2017
Ostschweiz,1169358,233468,717934,217956,586426,582932,902131,267227,499101,515657,58030,94989,54,1374,125,634402,200187,334769,2017
Glarus,40349,7761,24631,7957,20423,19926,30636,9713,16800,17940,2318,3243,2,40,6,30768,0,9581,2017
Schaffhausen,81351,15302,48973,17076,40251,41100,60185,21166,33340,36151,4598,7111,2,138,11,46786,26260,8305,2017
Appenzell A.Rh.,55178,11150,33438,10590,27879,27299,46181,8997,23452,24134,2844,4661,2,78,7,15780,26482,12916,2017
Appenzell I.Rh.,16105,3479,9613,3013,8290,7815,14271,1834,7319,7029,855,887,1,10,3,0,0,16105,2017
St.Gallen,504686,104151,309810,90725,252710,251976,383755,120931,218391,220999,24270,40353,25,583,46,349971,66182,88533,2017
Graubünden,197888,35900,120638,41350,99050,98838,160985,36903,83843,87490,10729,15615,12,177,17,64286,24278,109324,2017
Thurgau,273801,55725,170831,47245,137823,135978,206118,67683,115956,121914,12416,23119,10,348,35,126811,56985,90005,2017
Zentralschweiz,806071,161831,502449,141791,406120,399951,646768,159303,359219,352375,36269,56920,53,1128,92,472338,105163,228570,2017
Luzern,406506,82868,252896,70742,202534,203972,331512,74994,185365,174163,18682,27623,23,591,51,213163,45846,147497,2017
Uri,36299,7359,21656,7284,18522,17777,31928,4371,15541,16869,1991,1855,7,31,5,22323,9795,4181,2017
Schwyz,157301,30745,99111,27445,80618,76683,124130,33171,68164,69693,6999,12216,5,207,14,95518,33446,28337,2017
Obwalden,37575,7622,23079,6874,19030,18545,32056,5519,16589,16719,1770,2462,1,33,1,10236,0,27339,2017
Nidwalden,42969,7868,26620,8481,22006,20963,36712,6257,18592,19055,1979,3293,4,41,3,16038,5715,21216,2017
Zug,125421,25369,79087,20965,63410,62011,90430,34991,54968,55876,4848,9471,13,225,18,115060,10361,0,2017
Tessin,353709,64769,210041,78899,172505,181204,255122,98587,148100,153870,21396,29849,41,408,43,251864,76000,25845,2017
Schweiz,8419550,1691466,5205025,1523059,4173437,4246113,6318404,2101146,3710349,3585129,406983,699200,597,15324,1730,5282707,1837044,1299799,2016
Genferseeregion,1613522,343884,996126,273512,790573,822949,1074042,539480,734396,661014,73218,140988,166,3292,392,1107433,341044,165045,2016
Waadt,784822,172689,483842,128291,385389,399433,520957,263865,361457,319592,34549,67313,59,1639,183,486030,216920,81872,2016
Wallis,339176,67739,206913,64524,168072,171104,260444,78732,144112,149235,18259,27145,37,325,48,175361,80642,83173,2016
Genf,489524,103456,305371,80697,237112,252412,292641,196883,228827,192187,20410,46530,70,1328,161,446042,43482,0,2016
Espace Mittelland,1859557,372064,1131995,355498,917893,941664,1509290,350267,807879,792454,98294,157791,127,2621,340,932607,495907,431043,2016
Bern,1026513,195733,622339,208441,503789,522724,861614,164899,443834,438530,56089,86136,58,1610,223,537279,228035,261199,2016
Freiburg,311914,70816,193603,47495,156334,155580,242087,69827,141835,131932,13448,24230,34,385,43,103226,128666,80022,2016
Solothurn,269441,51712,166200,51529,134300,135141,210240,59201,112377,118905,14383,23344,15,368,40,162403,69702,37336,2016
Neuenburg,178567,38110,107176,33281,87312,91255,132878,45689,78415,71940,9830,18152,13,191,26,104666,55652,18249,2016
Jura,73122,15693,42677,14752,36158,36964,62471,10651,31418,31147,4544,5929,7,67,8,25033,13852,34237,2016
Nordwestschweiz,1142156,222348,706708,213100,566718,575438,845728,296428,486949,501849,56612,94334,66,2118,210,749305,287018,105833,2016
Basel-Stadt,193070,32634,121641,38795,93212,99858,124026,69044,91119,71579,10856,18773,20,652,66,193070,0,0,2016
Basel-Landschaft,285624,54894,169564,61166,140142,145482,221990,63634,114577,131232,15659,23510,10,589,44,194396,84267,6961,2016
Aargau,663462,134820,415503,113139,333364,330098,499712,163750,281253,299038,30097,52051,36,877,100,361839,202751,98872,2016
Zürich,1487969,293045,943505,251419,739814,748155,1092631,395338,681544,610364,63250,127472,93,4623,555,1146031,331802,10136,2016
Ostschweiz,1162684,233475,716110,213099,582942,579742,898952,263732,495878,513991,58057,93293,53,1273,112,631499,198485,332700,2016
Glarus,40147,7773,24584,7790,20329,19818,30650,9497,16683,17945,2329,3148,2,36,4,30572,0,9575,2016
Schaffhausen,80769,15243,48813,16713,40020,40749,59889,20880,32985,36035,4616,6996,2,125,9,46555,25971,8243,2016
Appenzell A.Rh.,54954,11145,33434,10375,27778,27176,46044,8910,23260,24154,2851,4604,2,80,3,15730,26328,12896,2016
Appenzell I.Rh.,16003,3511,9527,2965,8237,7766,14230,1773,7311,6974,851,853,1,11,2,0,0,16003,2016
St.Gallen,502552,104274,309354,88924,251526,251026,382829,119723,217268,220661,24299,39721,22,519,44,348830,65680,88042,2016
Graubünden,197550,36079,121002,40469,98853,98697,160932,36618,83644,87645,10710,15346,13,169,18,64339,24115,109096,2016
Thurgau,270709,55450,169396,45863,136199,134510,204378,66331,114727,120577,12401,22625,11,333,32,125473,56391,88845,2016
Zentralschweiz,799287,161596,499290,138401,402620,396667,642933,156354,355982,350170,36120,55845,53,1022,79,468902,103754,226631,2016
Luzern,403397,82723,251486,69188,200897,202500,329264,74133,183772,173311,18609,27087,23,539,47,212163,45057,146177,2016
Uri,36145,7377,21652,7116,18427,17718,31850,4295,15449,16834,2001,1818,8,32,2,22132,9815,4198,2016
Schwyz,155863,30881,98333,26649,79852,76011,123597,32266,67605,69135,6974,11948,5,183,11,94847,32888,28128,2016
Obwalden,37378,7639,23026,6713,18965,18413,31892,5486,16571,16616,1762,2400,1,27,1,10233,0,27145,2016
Nidwalden,42556,7863,26417,8276,21795,20761,36521,6035,18386,18915,1978,3233,4,35,3,15891,5682,20983,2016
Zug,123948,25113,78376,20459,62684,61264,89809,34139,54199,55359,4796,9359,12,206,15,113636,10312,0,2016
Tessin,354375,65054,211291,78030,172877,181498,254828,99547,147721,155287,21432,29477,39,375,42,246930,79034,28411,2016
Schweiz,8327126,1675503,5156571,1495052,4121471,4205655,6278459,2048667,3650651,3568702,407151,684114,563,14306,1446,5224160,1812583,1290383,2015
Genferseeregion,1593839,340411,984543,268885,779927,813912,1059872,533967,720102,659175,73197,137698,146,3139,331,1094617,335853,163369,2015
Waadt,773407,170633,476817,125957,379074,394333,513739,259668,353300,318102,34604,65634,51,1533,159,479658,213338,80411,2015
Wallis,335696,67347,205413,62936,166426,169270,258612,77084,142216,148810,18126,26148,33,312,35,173187,79551,82958,2015
Genf,484736,102431,302313,79992,234427,250309,287521,197215,224586,192263,20467,45916,62,1294,137,441772,42964,0,2015
Espace Mittelland,1842251,369495,1123767,348989,907412,934839,1504471,337780,795493,791151,98791,153932,124,2446,274,922226,490336,429689,2015
Bern,1017483,194111,618383,204989,498258,519225,860017,157466,437186,437850,56477,84190,55,1522,177,531765,225656,260062,2015
Freiburg,307461,70214,191105,46142,153729,153732,240182,67279,138940,131243,13395,23452,33,349,40,100331,126895,80235,2015
Solothurn,266418,51266,164739,50413,132439,133979,209355,57063,110681,118113,14493,22736,15,346,31,160616,68851,36951,2015
Neuenburg,178107,38117,107066,32924,87021,91086,132556,45551,77637,72597,9888,17781,13,169,20,104592,55172,18343,2015
Jura,72782,15787,42474,14521,35965,36817,62361,10421,31049,31348,4538,5773,8,60,6,24922,13762,34098,2015
Nordwestschweiz,1128723,219781,699694,209248,559109,569614,841131,287592,478839,499021,56411,92221,62,1980,172,740960,283308,104455,2015
Basel-Stadt,191817,32205,120778,38834,92514,99303,124365,67452,89611,71876,11013,18618,22,605,66,191817,0,0,2015
Basel-Landschaft,283231,54436,168679,60116,138808,144423,221489,61742,113105,131033,15535,22967,7,547,31,192488,83710,7033,2015
Aargau,653675,133140,410237,110298,327787,325888,495277,158398,276123,296112,29863,50636,33,828,75,356655,199598,97422,2015
Zürich,1466424,287660,931178,247586,728517,737907,1083372,383052,666873,606119,63094,125457,82,4277,473,1129596,326788,10040,2015
Ostschweiz,1153485,232358,712657,208470,577461,576024,895674,257811,491555,510952,58196,91427,52,1188,93,627789,195400,330296,2015
Glarus,40028,7762,24638,7628,20309,19719,30721,9307,16607,17981,2337,3061,3,34,5,30367,0,9661,2015
Schaffhausen,79836,15032,48401,16403,39391,40445,59664,20172,32404,35863,4637,6810,2,109,10,46264,25529,8043,2015
Appenzell A.Rh.,54543,11103,33196,10244,27506,27037,45985,8558,23055,24037,2874,4493,2,80,2,15721,26110,12712,2015
Appenzell I.Rh.,15974,3536,9514,2924,8196,7778,14240,1734,7338,6962,851,811,1,9,2,0,0,15974,2015
St.Gallen,499065,103693,308228,87144,249392,249673,381712,117353,215628,219430,24353,39106,18,482,34,347036,64874,87155,2015
Graubünden,196610,36141,121035,39434,98212,98398,160689,35921,83298,87457,10723,14935,14,166,13,64034,23551,109025,2015
Thurgau,267429,55091,167645,44693,134455,132974,202663,64766,113225,119222,12421,22211,12,308,27,124367,55336,87726,2015
Zentralschweiz,790458,160875,494440,135143,397579,392879,639651,150807,351750,347139,36045,54456,59,932,65,463627,102336,224495,2015
Luzern,398762,82391,248701,67670,198192,200570,327503,71259,181455,171654,18613,26480,28,490,34,210096,44133,144533,2015
Uri,35973,7385,21576,7012,18348,17625,31840,4133,15323,16844,2027,1742,7,27,3,21833,9901,4239,2015
Schwyz,154093,30831,97333,25929,78825,75268,122921,31172,66828,68527,6917,11630,7,174,8,93739,32480,27874,2015
Obwalden,37076,7655,22935,6486,18801,18275,31716,5360,16432,16538,1771,2309,1,24,1,10229,0,26847,2015
Nidwalden,42420,7903,26463,8054,21705,20715,36514,5906,18392,18874,1946,3171,4,31,1,15773,5645,21002,2015
Zug,122134,24710,77432,19992,61708,60426,89157,32977,53320,54702,4771,9124,12,186,18,111957,10177,0,2015
Tessin,351946,64923,210292,76731,171466,180480,254288,97658,146039,155145,21417,28923,38,344,38,245345,78562,28039,2015
Schweiz,8237666,1663752,5108349,1465565,4073880,4163786,6239207,1998459,3593986,3551926,407583,669047,549,13282,1132,5168376,1790738,1278552,2014
Genferseeregion,1570594,336857,970056,263681,768192,802402,1047506,523088,703912,656094,73255,134004,148,2875,259,1079078,329896,161620,2014
Waadt,761446,168899,468935,123612,373187,388259,509124,252322,344572,316709,34765,63790,50,1408,126,473240,209112,79094,2014
Wallis,331763,67069,203445,61249,164399,167364,256485,75278,140038,148109,18051,25211,37,281,22,170951,78286,82526,2014
Genf,477385,100889,297676,78820,230606,246779,281897,195488,219302,191276,20439,45003,61,1186,111,434887,42498,0,2014
Espace Mittelland,1826251,368125,1115781,342345,898913,927338,1499972,326279,784062,790017,99053,150470,117,2287,212,914434,485544,426273,2014
Bern,1009418,193024,615175,201219,494008,515410,857915,151503,431220,437492,56698,82380,56,1408,143,527253,223515,258650,2014
Freiburg,303377,69985,188624,44768,151587,151790,238449,64928,136627,130250,13394,22706,29,331,32,99070,125468,78839,2014
Solothurn,263719,50998,163222,49499,131036,132683,208749,54970,108942,117721,14420,22280,17,317,20,158965,68210,36544,2014
Neuenburg,177327,38257,106437,32633,86540,90787,132575,44752,76527,73138,9985,17490,10,166,11,104447,54655,18225,2014
Jura,72410,15861,42323,14226,35742,36668,62284,10126,30746,31416,4556,5614,5,65,6,24699,13696,34015,2014
Nordwestschweiz,1117158,217881,694046,205231,552700,564458,836996,280162,471936,496388,56562,90231,63,1821,132,734091,279942,103125,2014
Basel-Stadt,190580,31708,120006,38866,91760,98820,124274,66306,88082,72227,11220,18400,26,564,55,190580,0,0,2014
Basel-Landschaft,281301,54274,168014,59013,137719,143582,221378,59923,111940,130680,15530,22590,8,516,30,191248,82977,7076,2014
Aargau,645277,131899,406026,107352,323221,322056,491344,153933,271914,293481,29812,49241,29,741,47,352263,196965,96049,2014
Zürich,1446354,283522,919491,243341,717702,728652,1073065,373289,653715,601366,63180,123533,87,4065,376,1113403,323184,9767,2014
Ostschweiz,1144572,231934,709088,203550,572509,572063,892118,252454,487638,508237,58193,89296,50,1080,69,623502,193011,328059,2014
Glarus,39794,7739,24572,7483,20136,19658,30798,8996,16483,17954,2346,2969,3,37,2,30033,0,9761,2014
Schaffhausen,79417,15049,48304,16064,39111,40306,59542,19875,32161,35823,4629,6684,1,115,3,46258,25113,8046,2014
Appenzell A.Rh.,54064,11061,32947,10056,27271,26793,45763,8301,22884,23857,2892,4364,2,63,2,15512,25925,12627,2014
Appenzell I.Rh.,15854,3560,9429,2865,8121,7733,14169,1685,7314,6888,832,811,1,6,2,0,0,15854,2014
St.Gallen,495824,103606,306925,85293,247516,248308,380500,115324,213956,218680,24388,38323,19,427,27,345076,64295,86453,2014
Graubünden,195886,36216,121197,38473,97752,98134,160497,35389,83175,87244,10767,14518,14,157,8,63964,23158,108764,2014
Thurgau,263733,54703,165714,43316,132602,131131,200849,62884,111665,117791,12339,21627,10,275,25,122659,54520,86554,2014
Zentralschweiz,782374,160543,489963,131868,393323,389051,635917,146457,348096,344454,35929,52947,50,838,47,459312,101447,221615,2014
Luzern,394604,82193,246105,66306,195965,198639,325336,69268,179461,170366,18560,25734,23,426,27,208796,43606,142202,2014
Uri,36008,7432,21672,6904,18399,17609,31864,4144,15352,16874,2034,1709,7,26,3,21744,9996,4268,2014
Schwyz,152759,30943,96701,25115,78152,74607,122299,30460,66306,68053,6899,11326,7,159,7,92786,32230,27743,2014
Obwalden,36834,7697,22853,6284,18693,18141,31609,5225,16330,16465,1777,2236,0,24,1,10232,0,26602,2014
Nidwalden,42080,7859,26407,7814,21481,20599,36363,5717,18201,18825,1935,3097,4,18,0,15669,5611,20800,2014
Zug,120089,24419,76225,19445,60633,59456,88446,31643,52446,53871,4724,8845,9,185,9,110085,10004,0,2014
Tessin,350363,64890,209924,75549,170541,179822,253633,96730,144627,155370,21411,28566,34,316,37,244556,77714,28093,2014
Schweiz,8139631,1653511,5053373,1432747,4022091,4117540,6202184,1937447,3537837,3527929,407667,652608,528,12174,888,5106473,1767144,1266014,2013
Genferseeregion,1545817,333823,954579,257415,755704,790113,1037401,508416,688681,650724,73017,130406,134,2658,197,1063222,323493,159102,2013
Waadt,749373,167283,461284,120806,366766,382607,503493,245880,336758,314154,34782,62238,44,1306,91,467322,204856,77195,2013
Wallis,327011,66744,201026,59241,161991,165020,254273,72738,137702,146860,17922,24212,31,269,15,168248,76856,81907,2013
Genf,469433,99796,292269,77368,226947,242486,279635,189798,214221,189710,20313,43956,59,1083,91,427652,41781,0,2013
Espace Mittelland,1808480,367067,1106301,335112,889319,919161,1494209,314271,773418,786890,99451,146344,115,2090,172,905581,480670,422229,2013
Bern,1001281,192610,611526,197145,489514,511767,855740,145541,426436,436090,57009,80308,55,1265,118,522456,221797,257028,2013
Freiburg,297622,69260,184880,43482,148685,148937,235799,61823,133429,128639,13391,21805,28,307,23,96968,123462,77192,2013
Solothurn,261437,50993,161991,48453,129750,131687,208257,53180,107676,117278,14447,21718,17,284,17,157750,67642,36045,2013
Neuenburg,176402,38283,105878,32241,86014,90388,132428,43974,75537,73480,10073,17121,10,173,8,104015,54158,18229,2013
Jura,71738,15921,42026,13791,35356,36382,61985,9753,30340,31403,4531,5392,5,61,6,24392,13611,33735,2013
Nordwestschweiz,1104353,216199,687237,200917,545842,558511,833402,270951,464642,493279,56435,88212,65,1613,107,726714,275771,101868,2013
Basel-Stadt,189335,31437,119089,38809,91124,98211,124478,64857,86521,72554,11374,18293,26,518,49,189335,0,0,2013
Basel-Landschaft,278656,54044,166891,57721,136280,142376,221006,57650,110415,130095,15488,22177,8,449,24,189594,82024,7038,2013
Aargau,636362,130718,401257,104387,318438,317924,487918,148444,267706,290630,29573,47742,31,646,34,347785,193747,94830,2013
Zürich,1425538,279106,907597,238835,706789,718749,1064112,361426,640145,596614,63246,121378,92,3783,280,1096851,318974,9713,2013
Ostschweiz,1134781,232213,704052,198516,567320,567461,888862,245919,483752,504564,58320,87063,48,973,61,617960,190930,325891,2013
Glarus,39593,7799,24514,7280,20061,19532,30795,8798,16391,17897,2375,2896,2,30,2,29757,0,9836,2013
Schaffhausen,78783,15014,47968,15801,38849,39934,59350,19433,31847,35611,4672,6533,2,115,3,45975,24769,8039,2013
Appenzell A.Rh.,53691,11087,32762,9842,27051,26640,45645,8046,22812,23669,2873,4285,1,50,1,15342,25825,12524,2013
Appenzell I.Rh.,15778,3611,9354,2813,8082,7696,14124,1654,7301,6833,849,790,0,5,0,0,0,15778,2013
St.Gallen,491699,103824,304496,83379,245249,246450,379074,112625,212153,217246,24433,37452,17,372,26,342097,63752,85850,2013
Graubünden,194959,36264,121272,37423,97225,97734,160440,34519,82946,86995,10791,14065,17,136,9,63422,22838,108699,2013
Thurgau,260278,54614,163686,41978,130803,129475,199434,60844,110302,116313,12327,21042,9,265,20,121367,53746,85165,2013
Zentralschweiz,774123,160439,485422,128262,388671,385452,632025,142098,344683,341404,35863,51315,44,777,37,454349,100603,219171,2013
Luzern,390349,82017,243575,64757,193382,196967,323029,67320,177622,168749,18645,24898,20,395,20,207016,43066,140267,2013
Uri,35865,7465,21624,6776,18325,17540,31887,3978,15352,16788,2049,1649,5,19,3,21536,10070,4259,2013
Schwyz,151396,31108,95980,24308,77456,73940,121710,29686,65808,67671,6795,10960,6,150,6,91887,31910,27599,2013
Obwalden,36507,7674,22791,6042,18508,17999,31414,5093,16255,16290,1778,2162,0,21,1,10084,0,26423,2013
Nidwalden,41888,7976,26377,7535,21405,20483,36410,5478,18148,18801,1915,3000,4,20,0,15687,5578,20623,2013
Zug,118118,24199,75075,18844,59595,58523,87575,30543,51498,53105,4681,8646,9,172,7,108139,9979,0,2013
Tessin,346539,64664,208185,73690,168446,178093,252173,94366,142516,154454,21335,27890,30,280,34,241796,76703,28040,2013
